№,Name,Reg_number,Name_Full,Company_year,Size_company,Conflict,T,Capital,Clr,Returns,Ndter,Rddta,Total_debt
1,"( КОЛХОЗ ) ИМ. КИРОВА ., СПК",1.03E+12,СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ( КОЛХОЗ ) ИМЕНИ КИРОВА .,25,0,0,1,74299000,7.4957,0.1158,0.0127,,10985000
1,"( КОЛХОЗ ) ИМ. КИРОВА ., СПК",1.03E+12,СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ( КОЛХОЗ ) ИМЕНИ КИРОВА .,25,0,0,0,68168000,6.6739,0.0475,0.0528,,13156000
2,"(АО), КРОО",1.12E+12,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОРПОРАЦИЯ РАЗВИТИЯ ОРЕНБУРГСКОЙ ОБЛАСТИ""",12,0,0,1,439447000,0.9989,-30.3191,-0.0739,0.024,66112000
2,"(АО), КРОО",1.12E+12,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОРПОРАЦИЯ РАЗВИТИЯ ОРЕНБУРГСКОЙ ОБЛАСТИ""",12,0,0,0,486726000,1.5984,-1.9054,-0.002,0.1634,160965000
6,"(КОЛХОЗ) ИМ. ЛЕНИНА, СПК",1.03E+12,СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ (КОЛХОЗ) ИМ. ЛЕНИНА,23.5,0,0,0,61342000,3.8719,0.0024,0.1246,0.026,10023000
6,"(КОЛХОЗ) ИМ. ЛЕНИНА, СПК",1.03E+12,СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ (КОЛХОЗ) ИМ. ЛЕНИНА,23.5,0,0,1,62735000,4.0166,0.0046,0.1177,0.0236,11715000
11,"(КОЛХОЗ) ИМЕНИ КОМИНТЕРНА, СПК",1.02E+12,СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ (КОЛХОЗ) ИМЕНИ КОМИНТЕРНА,30,0,0,0,45828000,2.2558,0.0287,0.4688,0.0522,46945000
11,"(КОЛХОЗ) ИМЕНИ КОМИНТЕРНА, СПК",1.02E+12,СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ (КОЛХОЗ) ИМЕНИ КОМИНТЕРНА,30,0,0,1,52086000,2.2644,0.0709,0.2843,0.0471,37453000
13,"(КОЛХОЗ) ИМЕНИ КУТУЗОВА, СПК",1.03E+12,СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ (КОЛХОЗ) ИМЕНИ КУТУЗОВА,30.5,0,0,1,46803000,31.3899,-0.0195,-0.7204,0.1419,1467000
13,"(КОЛХОЗ) ИМЕНИ КУТУЗОВА, СПК",1.03E+12,СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ (КОЛХОЗ) ИМЕНИ КУТУЗОВА,30.5,0,0,0,47488000,33.8009,-0.0526,-0.2454,0.0751,2882000
14,"(КОЛХОЗ) ИМЕНИ ЛЕНИНА, СПК",1.03E+12,СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ (КОЛХОЗ) ИМЕНИ ЛЕНИНА,28.5,0,0,0,95206000,7.0728,0.1615,0.0502,0.016,12789000
14,"(КОЛХОЗ) ИМЕНИ ЛЕНИНА, СПК",1.03E+12,СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ (КОЛХОЗ) ИМЕНИ ЛЕНИНА,28.5,0,0,1,107704000,6.3752,0.1219,0.0784,0.0141,19206000
15,"(КОЛХОЗ) ИМЕНИ ТУКАЯ, СПК",1.04E+12,СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ (КОЛХОЗ) ИМЕНИ ТУКАЯ,30,0,0,1,8561000,10.2488,0.0346,,0.1514,883000
15,"(КОЛХОЗ) ИМЕНИ ТУКАЯ, СПК",1.04E+12,СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ (КОЛХОЗ) ИМЕНИ ТУКАЯ,30,0,0,0,8424000,4.9778,-0.0136,,0.0544,1764000
16,"(КОЛХОЗ) ИМЕНИ ФРУНЗЕ, СПК",1.02E+12,СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ (КОЛХОЗ) ИМЕНИ ФРУНЗЕ,29,0,0,0,96296000,27.6694,-0.1442,-0.0006,0.0344,2096000
16,"(КОЛХОЗ) ИМЕНИ ФРУНЗЕ, СПК",1.02E+12,СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ (КОЛХОЗ) ИМЕНИ ФРУНЗЕ,29,0,0,1,92498000,44.5417,-0.0712,-0.0064,0.0355,1163000
